index,period,attendances
1,2017-03-01,21289
2,2017-03-01,813
3,2017-03-01,2850
4,2017-03-01,30210
5,2017-03-01,807
6,2017-03-01,11352
7,2017-03-01,4381
8,2017-03-01,19562
9,2017-03-01,17414
10,2017-03-01,7817
11,2017-03-01,6654
12,2017-03-01,3844
13,2017-03-01,1069
14,2017-03-01,2147
15,2017-03-01,12649
16,2017-03-01,544
17,2017-03-01,12385
18,2017-03-01,832
19,2017-03-01,2939
20,2017-03-01,4068
21,2017-03-01,10300
22,2017-03-01,4676
23,2017-03-01,10020
24,2017-03-01,4274
25,2017-03-01,11156
26,2017-03-01,17810
27,2017-03-01,2122
28,2017-03-01,5027
29,2017-03-01,9239
30,2017-03-01,1163
31,2017-03-01,18137
32,2017-03-01,6527
33,2017-03-01,12137
34,2017-03-01,16738
35,2017-03-01,9020
36,2017-03-01,5561
37,2017-03-01,15077
38,2017-03-01,856
39,2017-03-01,741
40,2017-03-01,657
41,2017-03-01,19072
42,2017-03-01,3288
43,2017-03-01,1977
44,2017-03-01,13430
45,2017-03-01,1195
46,2017-03-01,2541
47,2017-03-01,5838
48,2017-03-01,8448
49,2017-03-01,3125
50,2017-03-01,3373
51,2017-03-01,8528
52,2017-03-01,12059
53,2017-03-01,9912
54,2017-03-01,2414
55,2017-03-01,5592
56,2017-03-01,2644
57,2017-03-01,11981
58,2017-03-01,6402
59,2017-03-01,3110
60,2017-03-01,5732
61,2017-03-01,5360
62,2017-03-01,4580
63,2017-03-01,9567
64,2017-03-01,3439
65,2017-03-01,6889
66,2017-03-01,2410
67,2017-03-01,7562
68,2017-03-01,4545
69,2017-03-01,6304
70,2017-03-01,11780
71,2017-03-01,4466
72,2017-03-01,5316
73,2017-03-01,1710
74,2017-03-01,9376
75,2017-03-01,4832
76,2017-03-01,615
77,2017-03-01,6726
78,2017-03-01,2159
79,2017-03-01,2116
80,2017-03-01,19628
81,2017-03-01,3528
82,2017-03-01,987
83,2017-03-01,3766
84,2017-03-01,7321
85,2017-03-01,531
86,2017-03-01,6301
87,2017-03-01,55
88,2017-03-01,7653
89,2017-03-01,451
90,2017-03-01,14325
91,2017-03-01,3886
92,2017-03-01,8814
93,2017-03-01,4029
94,2017-03-01,368
95,2017-03-01,575
96,2017-03-01,621
97,2017-03-01,8163
98,2017-03-01,428
99,2017-03-01,7692
100,2017-03-01,4697
101,2017-03-01,3822
102,2017-03-01,10075
103,2017-03-01,971
104,2017-03-01,7832
105,2017-03-01,828
106,2017-03-01,9027
107,2017-03-01,1104
108,2017-03-01,5502
109,2017-03-01,5046
110,2017-03-01,15446
111,2017-03-01,1564
112,2017-03-01,220
113,2017-03-01,2994
114,2017-03-01,272
115,2017-03-01,309
116,2017-03-01,2300
117,2017-03-01,14665
118,2017-03-01,2087
119,2017-03-01,2783
120,2017-03-01,8842
121,2017-03-01,4169
122,2017-03-01,10371
123,2017-03-01,1673
124,2017-03-01,1987
125,2017-03-01,5493
126,2017-03-01,5572
127,2017-03-01,663
128,2017-03-01,8595
129,2017-03-01,2009
130,2017-03-01,3329
131,2017-03-01,9006
132,2017-03-01,6393
133,2017-03-01,8737
134,2017-03-01,5320
135,2017-03-01,11505
136,2017-03-01,8651
137,2017-03-01,13111
138,2017-03-01,10032
139,2017-03-01,11986
140,2017-03-01,2081
141,2017-03-01,2187
142,2017-03-01,12697
143,2017-03-01,1850
144,2017-03-01,6073
145,2017-03-01,15129
146,2017-03-01,429
147,2017-03-01,4774
148,2017-03-01,6360
149,2017-03-01,3809
150,2017-03-01,4019
151,2017-03-01,8042
152,2017-03-01,4023
153,2017-03-01,5887
154,2017-03-01,9976
155,2017-03-01,5581
156,2017-03-01,4618
157,2017-03-01,3060
158,2017-03-01,7186
159,2017-03-01,7197
160,2017-03-01,5480
161,2017-03-01,5349
